round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
105,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
105,ArcaneLink,0,0,,
105,MaScroll-1,0,0,,
105,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
105,NorthernFiles,0,0,,
105,UberPendragon,0,0,,
106,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
106,ArcaneLink,0,0,,
106,MaScroll-1,0,0,,
106,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
106,NorthernFiles,0,0,,
106,UberPendragon,0,0,,
107,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
107,ArcaneLink,0,0,,
107,MaScroll-1,0,0,,
107,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
107,NorthernFiles,0,0,,
107,UberPendragon,0,0,,
108,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
108,ArcaneLink,0,0,,
108,MaScroll-1,0,0,,
108,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
108,NorthernFiles,0,0,,
108,UberPendragon,0,0,,
109,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
109,ArcaneLink,0,0,,
109,MaScroll-1,0,0,,
109,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
109,NorthernFiles,0,0,,
109,UberPendragon,0,0,,
110,SeaOfHackerz,4,6,7,2023-08-03T16:38:51.493Z
110,ArcaneLink,0,0,,
110,MaScroll-1,0,0,,
110,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
110,NorthernFiles,0,0,,
110,UberPendragon,0,0,,
111,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
111,ArcaneLink,0,0,,
111,MaScroll-1,0,0,,
111,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
111,NorthernFiles,0,0,,
111,UberPendragon,0,0,,
112,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
112,ArcaneLink,0,0,,
112,MaScroll-1,0,0,,
112,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
112,NorthernFiles,0,0,,
112,UberPendragon,0,0,,
113,SeaOfHackerz,5,4,7,2023-08-03T16:38:51.493Z
113,ArcaneLink,0,0,,
113,MaScroll-1,0,0,,
113,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
113,NorthernFiles,0,0,,
113,UberPendragon,0,0,,
114,SeaOfHackerz,5,6,7,2023-08-03T16:38:51.493Z
114,ArcaneLink,0,0,,
114,MaScroll-1,0,0,,
114,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
114,NorthernFiles,0,0,,
114,UberPendragon,0,0,,
115,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
115,ArcaneLink,0,0,,
115,MaScroll-1,1,3,4,2023-08-03T19:59:31.558Z
115,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
115,NorthernFiles,0,0,,
115,UberPendragon,0,0,,
116,SeaOfHackerz,5,5,7,2023-08-03T16:38:51.493Z
116,ArcaneLink,0,0,,
116,MaScroll-1,1,3,4,2023-08-03T19:59:31.558Z
116,MaScroll-2,1,3,6,2023-08-03T18:51:37.167Z
116,NorthernFiles,0,0,,
